Day,Python (lance),Python (lanceDB),NodeJS (lancedb),Rust (lance),Rust (lancedb)
"2024-09-30",751146,563726,134916,11406,3692
"2024-10-31",735141,521791,15438,13048,3671
"2024-11-30",1352908,779136,140543,10271,2822
"2024-12-31",1147527,761471,102166,13383,4592
"2025-01-31",664109,681095,104692,10105,6193
"2025-02-28",784226,744672,139342,14395,5717
"2025-03-31",1273212,1220290,162250,15770,6141
"2025-04-30",545982,796933,131576,15105,5057
"2025-05-31",566357,829964,166738,18182,8006
"2025-06-30",565015,959213,390483,24365,13343
"2025-07-31",155505,241840,89105,25520,15841
"2025-08-31",183485,317541,56792,8735,4040
"2025-09-24",1174705,1425997,183593,31011,10399
"2025-10-05",1465822,1491372,166270,49570,14247
"2025-10-30",2037341,1599523,184656,62192,5371
"2025-11-30",1906624,2319969,194569,77678,7805
"2025-12-30",1775906,3040415,204482, 93163,10239
"2026-02-02",1847269,2352352,619683,131024,22117
