Repository,Date,Stars
lance-format/lance,Fri Jul 08 2022 06:25:06 GMT+0000 (Greenwich Mean Time),0
lance-format/lance,Sat Feb 11 2023 14:54:49 GMT+0000 (Greenwich Mean Time),600
lance-format/lance,Mon Feb 27 2023 03:35:24 GMT+0000 (Greenwich Mean Time),1000
lance-format/lance,Sat Apr 29 2023 08:35:52 GMT+0000 (Greenwich Mean Time),1400
lance-format/lance,Sat Jun 03 2023 07:34:47 GMT+0000 (Greenwich Mean Time),1800
lance-format/lance,Thu Jun 29 2023 19:14:05 GMT+0000 (Greenwich Mean Time),2200
lance-format/lance,Mon Oct 09 2023 11:01:18 GMT+0000 (Greenwich Mean Time),2600
lance-format/lance,Wed Mar 27 2024 08:25:12 GMT+0000 (Greenwich Mean Time),3100
lance-format/lance,Mon Jul 08 2024 06:21:48 GMT+0000 (Greenwich Mean Time),3500
lance-format/lance,Sat Nov 16 2024 13:37:09 GMT+0000 (Greenwich Mean Time),3900
lance-format/lance,Thu Apr 03 2025 01:22:48 GMT+0000 (Greenwich Mean Time),4300
lance-format/lance,Mon Jun 09 2025 11:08:55 GMT+0000 (Greenwich Mean Time),4700
lance-format/lance,Sat Aug 02 2025 16:06:21 GMT+0000 (Greenwich Mean Time),5100
lance-format/lance,Fri Oct 17 2025 13:56:30 GMT+0000 (Greenwich Mean Time),5500
lance-format/lance,Thu Jan 08 2026 04:29:36 GMT+0000 (Greenwich Mean Time),5900
lance-format/lance,Fri Feb 20 2026 19:36:44 GMT+0000 (Greenwich Mean Time),6067
